"","Height","interaction","Pedigree","DAP","Height2","Tester"
"1009",2.22753033219225,"W10004_0006 X PHP02:69","W10004_0006 X PHP02",69,2.22753033219225,"PHP02"
"1010",2.22867632145482,"W10004_0006 X PHP02:73","W10004_0006 X PHP02",73,2.22867632145482,"PHP02"
"1011",2.22895346344362,"W10004_0006 X PHP02:76","W10004_0006 X PHP02",76,2.22895346344362,"PHP02"
"1012",2.2291061775219,"W10004_0006 X PHP02:80","W10004_0006 X PHP02",80,2.2291061775219,"PHP02"
"1013",2.22916360077384,"W10004_0006 X PHP02:83","W10004_0006 X PHP02",83,2.22916360077384,"PHP02"
"1014",2.22921054388729,"W10004_0006 X PHP02:87","W10004_0006 X PHP02",87,2.22921054388729,"PHP02"
"1015",2.22920506430737,"W10004_0006 X PHP02:90","W10004_0006 X PHP02",90,2.22920506430737,"PHP02"
"1016",2.22927427926479,"W10004_0006 X PHP02:99","W10004_0006 X PHP02",99,2.22927427926479,"PHP02"
"1017",2.22927945760549,"W10004_0006 X PHP02:101","W10004_0006 X PHP02",101,2.22927945760549,"PHP02"
"1018",2.2292856014277,"W10004_0006 X PHP02:104","W10004_0006 X PHP02",104,2.2292856014277,"PHP02"
"1019",2.22929021065411,"W10004_0006 X PHP02:107","W10004_0006 X PHP02",107,2.22929021065411,"PHP02"
"1020",2.22929458821183,"W10004_0006 X PHP02:111","W10004_0006 X PHP02",111,2.22929458821183,"PHP02"
"1021",2.22929689576128,"W10004_0006 X PHP02:114","W10004_0006 X PHP02",114,2.22929689576128,"PHP02"
"1022",2.22921285003831,"W10004_0006 X PHP02:118","W10004_0006 X PHP02",118,2.22921285003831,"PHP02"
"1023",2.22930046651358,"W10004_0006 X PHP02:122","W10004_0006 X PHP02",122,2.22930046651358,"PHP02"
"1024",2.22930138406373,"W10004_0006 X PHP02:126","W10004_0006 X PHP02",126,2.22930138406373,"PHP02"
"1025",0.019344206790043,"W10004_0006 X PHZ51:15","W10004_0006 X PHZ51",15,0.019344206790043,"PHZ51"
"1026",0.0372899699681653,"W10004_0006 X PHZ51:17","W10004_0006 X PHZ51",17,0.0372899699681653,"PHZ51"
"1027",0.122080838294869,"W10004_0006 X PHZ51:22","W10004_0006 X PHZ51",22,0.122080838294869,"PHZ51"
"1028",0.177494453370016,"W10004_0006 X PHZ51:24","W10004_0006 X PHZ51",24,0.177494453370016,"PHZ51"
"1029",0.289892951778374,"W10004_0006 X PHZ51:27","W10004_0006 X PHZ51",27,0.289892951778374,"PHZ51"
"1030",0.441641548037722,"W10004_0006 X PHZ51:30","W10004_0006 X PHZ51",30,0.441641548037722,"PHZ51"
"1031",0.565469982515865,"W10004_0006 X PHZ51:32","W10004_0006 X PHZ51",32,0.565469982515865,"PHZ51"
"1032",0.944580845330756,"W10004_0006 X PHZ51:37","W10004_0006 X PHZ51",37,0.944580845330756,"PHZ51"
"1033",1.11517110956052,"W10004_0006 X PHZ51:39","W10004_0006 X PHZ51",39,1.11517110956052,"PHZ51"
"1034",1.28888084170262,"W10004_0006 X PHZ51:41","W10004_0006 X PHZ51",41,1.28888084170262,"PHZ51"
"1035",1.6205230504033,"W10004_0006 X PHZ51:45","W10004_0006 X PHZ51",45,1.6205230504033,"PHZ51"
"1036",1.8324985162808,"W10004_0006 X PHZ51:48","W10004_0006 X PHZ51",48,1.8324985162808,"PHZ51"
"1037",1.9982595919432,"W10004_0006 X PHZ51:51","W10004_0006 X PHZ51",51,1.9982595919432,"PHZ51"
"1038",2.16775177818228,"W10004_0006 X PHZ51:56","W10004_0006 X PHZ51",56,2.16775177818228,"PHZ51"
"1039",2.22868272628342,"W10004_0006 X PHZ51:60","W10004_0006 X PHZ51",60,2.22868272628342,"PHZ51"
"1040",2.24377453063164,"W10004_0006 X PHZ51:62","W10004_0006 X PHZ51",62,2.24377453063164,"PHZ51"
"1041",2.26103789156797,"W10004_0006 X PHZ51:69","W10004_0006 X PHZ51",69,2.26103789156797,"PHZ51"
"1042",2.26245173390949,"W10004_0006 X PHZ51:73","W10004_0006 X PHZ51",73,2.26245173390949,"PHZ51"
"1043",2.26275316251178,"W10004_0006 X PHZ51:76","W10004_0006 X PHZ51",76,2.26275316251178,"PHZ51"
"1044",2.26289747235942,"W10004_0006 X PHZ51:80","W10004_0006 X PHZ51",80,2.26289747235942,"PHZ51"
"1045",2.26294722349589,"W10004_0006 X PHZ51:83","W10004_0006 X PHZ51",83,2.26294722349589,"PHZ51"
"1046",2.26298707683778,"W10004_0006 X PHZ51:87","W10004_0006 X PHZ51",87,2.26298707683778,"PHZ51"
"1047",2.26298244709428,"W10004_0006 X PHZ51:90","W10004_0006 X PHZ51",90,2.26298244709428,"PHZ51"
"1048",2.26304099405688,"W10004_0006 X PHZ51:99","W10004_0006 X PHZ51",99,2.26304099405688,"PHZ51"
"1049",2.2630453742333,"W10004_0006 X PHZ51:101","W10004_0006 X PHZ51",101,2.2630453742333,"PHZ51"
"1050",2.26305057107661,"W10004_0006 X PHZ51:104","W10004_0006 X PHZ51",104,2.26305057107661,"PHZ51"
"1051",2.26305446985926,"W10004_0006 X PHZ51:107","W10004_0006 X PHZ51",107,2.26305446985926,"PHZ51"
"1052",2.26305817268151,"W10004_0006 X PHZ51:111","W10004_0006 X PHZ51",111,2.26305817268151,"PHZ51"
"1053",2.2630601245565,"W10004_0006 X PHZ51:114","W10004_0006 X PHZ51",114,2.2630601245565,"PHZ51"
"1054",2.26298903323288,"W10004_0006 X PHZ51:118","W10004_0006 X PHZ51",118,2.26298903323288,"PHZ51"
"1055",2.26306314493039,"W10004_0006 X PHZ51:122","W10004_0006 X PHZ51",122,2.26306314493039,"PHZ51"
"1056",2.26306392105381,"W10004_0006 X PHZ51:126","W10004_0006 X PHZ51",126,2.26306392105381,"PHZ51"
"1057",-0.0019439759452359,"W10004_0007 X PHK76:15","W10004_0007 X PHK76",15,0,"PHK76"
"1058",0.0151288530348793,"W10004_0007 X PHK76:17","W10004_0007 X PHK76",17,0.0151288530348793,"PHK76"
"1059",0.0965385847023686,"W10004_0007 X PHK76:22","W10004_0007 X PHK76",22,0.0965385847023686,"PHK76"
"1060",0.150109179693873,"W10004_0007 X PHK76:24","W10004_0007 X PHK76",24,0.150109179693873,"PHK76"
"1061",0.259263209835683,"W10004_0007 X PHK76:27","W10004_0007 X PHK76",27,0.259263209835683,"PHK76"
"1062",0.407262684734086,"W10004_0007 X PHK76:30","W10004_0007 X PHK76",30,0.407262684734086,"PHK76"
"1063",0.528333300747344,"W10004_0007 X PHK76:32","W10004_0007 X PHK76",32,0.528333300747344,"PHK76"
"1064",0.899432671629131,"W10004_0007 X PHK76:37","W10004_0007 X PHK76",37,0.899432671629131,"PHK76"
"1065",1.06615539863454,"W10004_0007 X PHK76:39","W10004_0007 X PHK76",39,1.06615539863454,"PHK76"
"1066",1.23544503217337,"W10004_0007 X PHK76:41","W10004_0007 X PHK76",41,1.23544503217337,"PHK76"
"1067",1.55624687941666,"W10004_0007 X PHK76:45","W10004_0007 X PHK76",45,1.55624687941666,"PHK76"
"1068",1.75845452381302,"W10004_0007 X PHK76:48","W10004_0007 X PHK76",48,1.75845452381302,"PHK76"
"1069",1.91381515312015,"W10004_0007 X PHK76:51","W10004_0007 X PHK76",51,1.91381515312015,"PHK76"
"1070",2.06785255526921,"W10004_0007 X PHK76:56","W10004_0007 X PHK76",56,2.06785255526921,"PHK76"
"1071",2.12068588056633,"W10004_0007 X PHK76:60","W10004_0007 X PHK76",60,2.12068588056633,"PHK76"
"1072",2.13331847985677,"W10004_0007 X PHK76:62","W10004_0007 X PHK76",62,2.13331847985677,"PHK76"
"1073",2.14735499217693,"W10004_0007 X PHK76:69","W10004_0007 X PHK76",69,2.14735499217693,"PHK76"
"1074",2.14851128810763,"W10004_0007 X PHK76:73","W10004_0007 X PHK76",73,2.14851128810763,"PHK76"
"1075",2.14877456595049,"W10004_0007 X PHK76:76","W10004_0007 X PHK76",76,2.14877456595049,"PHK76"
"1076",2.14891043227512,"W10004_0007 X PHK76:80","W10004_0007 X PHK76",80,2.14891043227512,"PHK76"
"1077",2.14895954313421,"W10004_0007 X PHK76:83","W10004_0007 X PHK76",83,2.14895954313421,"PHK76"
"1078",2.14899931925439,"W10004_0007 X PHK76:87","W10004_0007 X PHK76",87,2.14899931925439,"PHK76"
"1079",2.14899468689059,"W10004_0007 X PHK76:90","W10004_0007 X PHK76",90,2.14899468689059,"PHK76"
"1080",2.14905323354492,"W10004_0007 X PHK76:99","W10004_0007 X PHK76",99,2.14905323354492,"PHK76"
"1081",2.14905761372135,"W10004_0007 X PHK76:101","W10004_0007 X PHK76",101,2.14905761372135,"PHK76"
"1082",2.14906281056466,"W10004_0007 X PHK76:104","W10004_0007 X PHK76",104,2.14906281056466,"PHK76"
"1083",2.14906670934731,"W10004_0007 X PHK76:107","W10004_0007 X PHK76",107,2.14906670934731,"PHK76"
"1084",2.14907041216956,"W10004_0007 X PHK76:111","W10004_0007 X PHK76",111,2.14907041216956,"PHK76"
"1085",2.14907236404454,"W10004_0007 X PHK76:114","W10004_0007 X PHK76",114,2.14907236404454,"PHK76"
"1086",2.14900127272093,"W10004_0007 X PHK76:118","W10004_0007 X PHK76",118,2.14900127272093,"PHK76"
"1087",2.14907538441844,"W10004_0007 X PHK76:122","W10004_0007 X PHK76",122,2.14907538441844,"PHK76"
"1088",2.14907616054186,"W10004_0007 X PHK76:126","W10004_0007 X PHK76",126,2.14907616054186,"PHK76"
"1089",0.0423922655725542,"W10004_0007 X PHP02:15","W10004_0007 X PHP02",15,0.0423922655725542,"PHP02"
"1090",0.0603917977417375,"W10004_0007 X PHP02:17","W10004_0007 X PHP02",17,0.0603917977417375,"PHP02"
"1091",0.146019146497247,"W10004_0007 X PHP02:22","W10004_0007 X PHP02",22,0.146019146497247,"PHP02"
"1092",0.202254929697026,"W10004_0007 X PHP02:24","W10004_0007 X PHP02",24,0.202254929697026,"PHP02"
"1093",0.316658768308511,"W10004_0007 X PHP02:27","W10004_0007 X PHP02",27,0.316658768308511,"PHP02"
"1094",0.471477777260393,"W10004_0007 X PHP02:30","W10004_0007 X PHP02",30,0.471477777260393,"PHP02"
"1095",0.597916495834158,"W10004_0007 X PHP02:32","W10004_0007 X PHP02",32,0.597916495834158,"PHP02"
"1096",0.984456231578214,"W10004_0007 X PHP02:37","W10004_0007 X PHP02",37,0.984456231578214,"PHP02"
"1097",1.15764139485941,"W10004_0007 X PHP02:39","W10004_0007 X PHP02",39,1.15764139485941,"PHP02"
"1098",1.33318191074037,"W10004_0007 X PHP02:41","W10004_0007 X PHP02",41,1.33318191074037,"PHP02"
"1099",1.66486947698006,"W10004_0007 X PHP02:45","W10004_0007 X PHP02",45,1.66486947698006,"PHP02"
"1100",1.87314683389574,"W10004_0007 X PHP02:48","W10004_0007 X PHP02",48,1.87314683389574,"PHP02"
"1101",2.03257521834541,"W10004_0007 X PHP02:51","W10004_0007 X PHP02",51,2.03257521834541,"PHP02"
"1102",2.1897088348834,"W10004_0007 X PHP02:56","W10004_0007 X PHP02",56,2.1897088348834,"PHP02"
"1103",2.24305398851763,"W10004_0007 X PHP02:60","W10004_0007 X PHP02",60,2.24305398851763,"PHP02"
"1104",2.2556900602824,"W10004_0007 X PHP02:62","W10004_0007 X PHP02",62,2.2556900602824,"PHP02"
"1105",2.2695836222773,"W10004_0007 X PHP02:69","W10004_0007 X PHP02",69,2.2695836222773,"PHP02"
"1106",2.27074272550668,"W10004_0007 X PHP02:73","W10004_0007 X PHP02",73,2.27074272550668,"PHP02"
"1107",2.27102158675954,"W10004_0007 X PHP02:76","W10004_0007 X PHP02",76,2.27102158675954,"PHP02"
"1108",2.27117461043291,"W10004_0007 X PHP02:80","W10004_0007 X PHP02",80,2.27117461043291,"PHP02"
"1109",2.2712320499026,"W10004_0007 X PHP02:83","W10004_0007 X PHP02",83,2.2712320499026,"PHP02"
"1110",2.27127899429161,"W10004_0007 X PHP02:87","W10004_0007 X PHP02",87,2.27127899429161,"PHP02"
"1111",2.27127351471169,"W10004_0007 X PHP02:90","W10004_0007 X PHP02",90,2.27127351471169,"PHP02"
"1112",2.2713427296691,"W10004_0007 X PHP02:99","W10004_0007 X PHP02",99,2.2713427296691,"PHP02"
"1113",2.2713479080098,"W10004_0007 X PHP02:101","W10004_0007 X PHP02",101,2.2713479080098,"PHP02"
"1114",2.27135405183201,"W10004_0007 X PHP02:104","W10004_0007 X PHP02",104,2.27135405183201,"PHP02"
"1115",2.27135866105842,"W10004_0007 X PHP02:107","W10004_0007 X PHP02",107,2.27135866105842,"PHP02"
"1116",2.27136303861615,"W10004_0007 X PHP02:111","W10004_0007 X PHP02",111,2.27136303861615,"PHP02"
"1117",2.2713653461656,"W10004_0007 X PHP02:114","W10004_0007 X PHP02",114,2.2713653461656,"PHP02"
"1118",2.27128130044262,"W10004_0007 X PHP02:118","W10004_0007 X PHP02",118,2.27128130044262,"PHP02"
"1119",2.2713689169179,"W10004_0007 X PHP02:122","W10004_0007 X PHP02",122,2.2713689169179,"PHP02"
"1120",2.27136983446804,"W10004_0007 X PHP02:126","W10004_0007 X PHP02",126,2.27136983446804,"PHP02"
"1121",-0.00958237133045582,"W10004_0007 X PHZ51:15","W10004_0007 X PHZ51",15,0,"PHZ51"
"1122",0.00749394249106171,"W10004_0007 X PHZ51:17","W10004_0007 X PHZ51",17,0.00749394249106171,"PHZ51"
"1123",0.0889464347917664,"W10004_0007 X PHZ51:22","W10004_0007 X PHZ51",22,0.0889464347917664,"PHZ51"
"1124",0.142576806473645,"W10004_0007 X PHZ51:24","W10004_0007 X PHZ51",24,0.142576806473645,"PHZ51"
"1125",0.251967133647466,"W10004_0007 X PHZ51:27","W10004_0007 X PHZ51",27,0.251967133647466,"PHZ51"
"1126",0.400606037253403,"W10004_0007 X PHZ51:30","W10004_0007 X PHZ51",30,0.400606037253403,"PHZ51"
"1127",0.522536852973455,"W10004_0007 X PHZ51:32","W10004_0007 X PHZ51",32,0.522536852973455,"PHZ51"
"1128",0.898754215858103,"W10004_0007 X PHZ51:37","W10004_0007 X PHZ51",37,0.898754215858103,"PHZ51"
"1129",1.06934637456289,"W10004_0007 X PHZ51:39","W10004_0007 X PHZ51",39,1.06934637456289,"PHZ51"
"1130",1.24388058975451,"W10004_0007 X PHZ51:41","W10004_0007 X PHZ51",41,1.24388058975451,"PHZ51"
"1131",1.57960804725039,"W10004_0007 X PHZ51:45","W10004_0007 X PHZ51",45,1.57960804725039,"PHZ51"
"1132",1.79628772949892,"W10004_0007 X PHZ51:48","W10004_0007 X PHZ51",48,1.79628772949892,"PHZ51"
"1133",1.96731399298698,"W10004_0007 X PHZ51:51","W10004_0007 X PHZ51",51,1.96731399298698,"PHZ51"
"1134",2.14455275647207,"W10004_0007 X PHZ51:56","W10004_0007 X PHZ51",56,2.14455275647207,"PHZ51"
"1135",2.20941526290731,"W10004_0007 X PHZ51:60","W10004_0007 X PHZ51",60,2.20941526290731,"PHZ51"
"1136",2.22568108888379,"W10004_0007 X PHZ51:62","W10004_0007 X PHZ51",62,2.22568108888379,"PHZ51"
"1137",2.24447313193785,"W10004_0007 X PHZ51:69","W10004_0007 X PHZ51",69,2.24447313193785,"PHZ51"
"1138",2.24600757069262,"W10004_0007 X PHZ51:73","W10004_0007 X PHZ51",73,2.24600757069262,"PHZ51"
"1139",2.24632627861488,"W10004_0007 X PHZ51:76","W10004_0007 X PHZ51",76,2.24632627861488,"PHZ51"
"1140",2.24647414574745,"W10004_0007 X PHZ51:80","W10004_0007 X PHZ51",80,2.24647414574745,"PHZ51"
"1141",2.2465241231543,"W10004_0007 X PHZ51:83","W10004_0007 X PHZ51",83,2.2465241231543,"PHZ51"
"1142",2.24656399699617,"W10004_0007 X PHZ51:87","W10004_0007 X PHZ51",87,2.24656399699617,"PHZ51"
"1143",2.24655936756093,"W10004_0007 X PHZ51:90","W10004_0007 X PHZ51",90,2.24655936756093,"PHZ51"
"1144",2.2466179143694,"W10004_0007 X PHZ51:99","W10004_0007 X PHZ51",99,2.2466179143694,"PHZ51"
"1145",2.24662229454583,"W10004_0007 X PHZ51:101","W10004_0007 X PHZ51",101,2.24662229454583,"PHZ51"
"1146",2.24662749138913,"W10004_0007 X PHZ51:104","W10004_0007 X PHZ51",104,2.24662749138913,"PHZ51"
"1147",2.24663139017178,"W10004_0007 X PHZ51:107","W10004_0007 X PHZ51",107,2.24663139017178,"PHZ51"
"1148",2.24663509299403,"W10004_0007 X PHZ51:111","W10004_0007 X PHZ51",111,2.24663509299403,"PHZ51"
"1149",2.24663704486902,"W10004_0007 X PHZ51:114","W10004_0007 X PHZ51",114,2.24663704486902,"PHZ51"
"1150",2.2465659535454,"W10004_0007 X PHZ51:118","W10004_0007 X PHZ51",118,2.2465659535454,"PHZ51"
"1151",2.24664006524291,"W10004_0007 X PHZ51:122","W10004_0007 X PHZ51",122,2.24664006524291,"PHZ51"
