Hybrid,Yield,DTA,DTS,PHT,EHT
W10004_0076/PHZ51,9.171524698,54.54229303,55.65190501,246.5378044,100.7942127
W10004_0078/PHK76,6.81724608,51.70925402,53.07942785,248.8360516,129.5966809
W10004_0078/PHP02,8.808480355,51.80312908,52.43403501,226.5605359,103.1429442
W10004_0078/PHZ51,9.927684149,52.31886132,55.35410118,269.4278887,102.5849303
W10004_0079/PHK76,NA,52.81586618,53.37649352,195.4412952,87.69643029
W10004_0079/PHP02,6.489232875,50.61114806,50.76709759,227.1504052,106.4070837
W10004_0079/PHZ51,6.771002695,55.77802644,54.40390524,250.7025034,93.68952006
W10004_0080/PHK76,9.142187726,54.24858623,53.75055171,233.152809,114.8829823
W10004_0080/PHP02,6.094187382,52.2160237,53.2542289,217.0403423,102.8509377
W10004_0080/PHZ51,6.80661993,54.44171302,55.08488109,267.3049521,110.4073565
W10004_0086/PHK76,5.953827147,49.63430374,50.7531623,223.3993991,102.8142315
W10004_0086/PHP02,6.044247765,51.93373504,52.2520889,208.3360976,73.76559681
W10004_0086/PHZ51,8.333219481,53.26953636,55.43934543,252.5233635,92.66211952
W10004_0087/PHK76,9.528318908,50.06475577,51.59748557,198.9006385,83.63101824
W10004_0087/PHP02,7.589794841,52.47245673,53.05145679,209.1724962,89.64736759
W10004_0087/PHZ51,6.463458657,51.41915446,52.68070423,230.0069894,106.324878
W10004_0092/PHK76,5.291899525,52.85199443,53.88778629,215.1982362,99.30856972
W10004_0092/PHP02,10.08362577,49.83613119,51.7940962,237.2514146,107.3364668
W10004_0092/PHZ51,7.306019094,53.89368559,54.66673854,247.5839036,108.7509427
W10004_0093/PHK76,8.696047043,52.49186043,52.42453181,227.2149211,94.1669563
W10004_0093/PHP02,7.981473958,52.9327339,54.70564104,230.0899037,95.99097751
W10004_0093/PHZ51,6.620800553,52.47594042,54.44936757,256.6916484,112.3002267
W10004_0095/PHK76,8.01761187,52.31148462,53.17327655,246.6513122,134.3535065
W10004_0095/PHP02,7.100580189,52.14541221,52.75856183,232.9334807,108.7948598
W10004_0095/PHZ51,6.753533448,53.38072264,54.22895385,269.8873255,144.8364917
W10004_0097/PHP02,7.95540795,52.44310747,52.354878,228.2220143,97.97166207
W10004_0097/PHZ51,7.908068472,53.85641422,53.80786365,232.1276728,104.4981926
W10004_0098/PHP02,8.878628135,49.36422294,49.96777907,215.2280724,110.0015801
W10004_0098/PHZ51,7.815630749,52.61081399,52.96159474,272.1748327,113.4996704
W10004_0099/PHK76,7.255979607,51.26445628,52.65593638,212.7875108,94.88239486
W10004_0099/PHP02,7.903747657,52.24968547,53.1077307,231.0289433,104.445206
W10004_0099/PHZ51,7.469000443,53.91999008,54.87564663,252.7967931,117.5731864
W10004_0101/PHK76,9.021344293,50.17394632,50.53632834,228.9787564,110.0854846
W10004_0101/PHP02,9.055308749,50.82298035,52.56289048,230.7989583,90.97695752
W10004_0101/PHZ51,10.41518829,52.02920905,53.44127201,235.8006311,91.85120916
W10004_0103/PHK76,6.323002019,51.84045668,53.03949889,231.9318257,111.2274048
W10004_0103/PHP02,9.492140107,53.61847919,54.34296178,238.6366093,124.3010387
W10004_0103/PHZ51,8.413158796,55.61227432,55.82376045,259.2592189,136.1433564
W10004_0106/PHK76,10.8146789,50.26667639,51.1028057,217.1097137,84.91153332
W10004_0106/PHP02,8.028865284,49.94143742,49.81526446,235.7650665,114.9919696
W10004_0106/PHZ51,8.761601721,52.18440721,53.05759341,244.0979442,88.5334385
W10004_0110/PHK76,8.007936717,49.24534303,50.073789,223.7545215,96.13409633
W10004_0110/PHP02,4.9478922,52.0609711,51.52731559,237.8059674,103.2226746
W10004_0110/PHZ51,8.382970304,53.19712747,53.50952467,260.6280848,117.0051563
W10004_0112/PHK76,5.267271118,51.98292957,51.71499428,215.797811,95.37302378
W10004_0112/PHP02,5.405865529,51.59543153,52.27853741,230.3562579,109.9234428
W10004_0112/PHZ51,7.975994869,53.48915095,54.24978241,245.8784772,97.37803693
W10004_0115/PHK76,9.295674572,51.94460291,51.9291291,233.9239815,87.50243622
W10004_0115/PHP02,8.431777263,50.57814392,53.16599316,234.2843891,96.3555315
W10004_0115/PHZ51,8.836517922,52.46671688,53.41233177,275.5223472,123.6686057
W10004_0116/PHK76,4.910963406,51.15569276,50.95631869,218.2206949,93.62128556
W10004_0116/PHP02,7.899874325,50.36687581,51.70008627,225.180961,92.96582963
W10004_0116/PHZ51,9.863040164,51.55813655,53.45694492,260.6139397,122.5377643
W10004_0118/PHK76,8.515578473,49.50135296,51.89031928,226.7896653,98.17365487
W10004_0118/PHP02,6.266711265,51.92704412,52.40677298,223.0261833,107.1052153
W10004_0118/PHZ51,9.616765431,54.45257226,54.55356211,198.9687858,129.0403917
W10004_0119/PHK76,6.803920667,51.71813893,51.96482369,220.7825197,97.72868594
W10004_0119/PHP02,9.536251684,50.245634,51.0440182,210.7874999,83.68976765
W10004_0119/PHZ51,7.453295251,53.64328256,54.45588351,259.8256928,120.8531355
W10004_0121/PHK76,7.871736281,51.77560811,51.93013633,212.6283583,95.1690763
W10004_0121/PHP02,7.211430231,51.15772833,52.1328272,225.041367,99.24635354
W10004_0121/PHZ51,7.951663653,53.74877527,55.4886303,250.4059575,116.0448902
W10004_0122/PHK76,10.06686242,52.50106422,52.74271765,226.1202001,106.2393633
W10004_0122/PHP02,8.528815234,51.25202494,52.27549973,230.8519369,105.5568043
W10004_0122/PHZ51,8.972378209,52.36336617,53.2166246,263.2488011,113.7774818
W10004_0127/PHK76,7.41394977,50.01034573,50.22935623,199.364173,83.44147093
W10004_0127/PHP02,8.236327982,52.05755619,52.53277999,213.8202286,84.57883583
W10004_0129/PHK76,NA,52.24827337,52.73163705,214.2594373,84.14777192
W10004_0129/PHP02,9.365782755,51.02712237,52.31477331,237.2658053,111.6237009
W10004_0129/PHZ51,8.231061725,54.04366297,53.28492567,240.4705735,93.22031255
W10004_0132/PHK76,7.436068579,51.40059274,51.7325418,236.2770525,106.6416718
W10004_0132/PHZ51,7.19300156,52.99448626,55.35621676,243.481858,93.90207739
W10004_0133/PHK76,6.816723712,52.8841129,52.98857552,220.1033275,106.8603636
W10004_0133/PHP02,6.718818642,50.79274041,51.91736234,217.2756435,117.5426201
W10004_0133/PHZ51,10.17951522,53.45287694,53.78329682,253.2799842,97.30382625
W10004_0134/PHK76,7.117172285,52.02418442,51.97802143,226.1219963,111.739004
W10004_0134/PHP02,6.60425896,51.99080664,53.64752913,200.6651434,84.59797102
W10004_0134/PHZ51,8.620876901,51.51784898,52.19644969,230.3304119,98.44990235
W10004_0138/PHK76,NA,50.84182109,51.16568137,216.4364595,89.23004797
W10004_0138/PHP02,7.726433062,51.44931175,52.412925,237.4271282,111.3552241
W10004_0138/PHZ51,7.864993858,52.8181182,53.74909496,252.2958334,117.0002322
W10004_0140/PHK76,8.324414,50.13424947,50.55512708,224.1377107,117.2640643
W10004_0140/PHP02,7.352069282,52.79559621,53.80756409,242.2916738,112.601288
W10004_0140/PHZ51,8.487852343,54.89343279,54.69397489,270.4165361,132.1320607
W10004_0144/PHK76,7.061053797,50.29559482,51.53028732,209.7936106,95.76154322
W10004_0144/PHP02,7.361350153,50.44343876,52.35630885,200.2119426,65.61422893
W10004_0144/PHZ51,5.669571916,54.23743569,55.7566714,244.8065497,111.6705046
W10004_0146/PHK76,8.41495983,50.92631441,50.71927114,215.8675058,102.8344891
W10004_0146/PHP02,7.240424003,50.64564042,52.91740294,240.4937291,90.56816637
W10004_0146/PHZ51,7.870911042,53.50091654,54.53460399,245.2965667,109.9720386
W10004_0147/PHK76,8.114536214,50.0290731,50.44921021,213.2276896,95.14602805
W10004_0147/PHP02,7.202192554,51.08437476,52.2915315,230.6089012,91.22267884
W10004_0147/PHZ51,8.775957799,53.86252593,54.29226244,246.8245374,122.7954986
W10004_0148/PHK76,9.858188487,52.48488899,52.46825866,218.9217161,109.8104631
W10004_0148/PHP02,7.578013016,51.82997173,51.89563408,243.5053255,102.2823614
W10004_0148/PHZ51,8.21956252,52.40753276,52.79164607,262.1965436,130.9038666
W10004_0149/PHK76,3.815384065,50.86385396,50.90836386,225.4095425,88.7867752
W10004_0149/PHP02,7.075322471,52.50958333,53.05208198,243.846419,92.49774471
W10004_0149/PHZ51,10.91223917,54.56234015,53.77547403,256.3283211,105.3496368
W10004_0150/PHK76,7.217937362,52.88334714,53.46222164,216.0808056,89.98484142
W10004_0150/PHP02,8.705854259,52.3211131,52.97920347,223.1620531,110.8410538
W10004_0150/PHZ51,4.645962263,55.32873254,55.71433769,246.8846888,128.6642683
W10004_0152/PHK76,NA,51.27255387,53.3552691,207.1648018,80.59491978
W10004_0152/PHP02,6.698508189,51.96731095,54.34544616,230.9057808,103.2517491
W10004_0152/PHZ51,9.203961839,54.24559859,55.10303419,253.6029184,111.4994754
W10004_0153/PHK76,7.614049445,52.75373877,52.7254988,227.9379417,88.47954495
W10004_0153/PHP02,6.148826078,51.28432993,52.22547628,209.9737968,84.6137171
W10004_0153/PHZ51,7.125085059,52.68435294,54.85955819,253.8362558,103.9832713
W10004_0154/PHP02,7.326984337,51.29372792,52.25842851,222.9957377,104.3900336
W10004_0154/PHZ51,6.84373861,56.43736976,57.57201274,234.717776,94.02044531
W10004_0160/PHK76,NA,53.67292884,52.90022647,208.5974606,80.46572105
W10004_0160/PHP02,10.38485087,50.50842214,52.03309305,222.1084723,73.88382645
W10004_0160/PHZ51,8.136911677,52.43037127,52.87136294,241.9158192,105.690492
W10004_0161/PHK76,7.880824924,48.89545671,49.12603033,221.7274206,113.1628869
W10004_0161/PHP02,10.52468456,51.04941976,52.87224988,229.6226545,91.62131909
W10004_0161/PHZ51,8.669039597,51.92897753,51.8486647,230.3269392,103.1508529
W10004_0166/PHK76,6.733845198,51.31001892,52.95016117,238.2711743,107.3542792
W10004_0166/PHP02,6.750937802,53.02477304,54.81241264,219.0691969,89.63271065
W10004_0166/PHZ51,7.084485448,52.3792977,54.18968954,269.5505294,113.3921797
W10004_0167/PHK76,8.805835288,50.99562637,51.17178908,209.3004919,84.30323751
W10004_0167/PHP02,5.733374424,53.31987808,53.0970579,210.8893885,98.17770743
W10004_0167/PHZ51,7.505392919,53.60758245,53.75260212,241.1778589,92.77221343
W10004_0168/PHK76,NA,52.70005566,53.05364759,226.2231399,106.4862755
W10004_0168/PHP02,6.246590646,53.56896595,53.94219948,213.8549513,113.9159883
W10004_0168/PHZ51,6.629535964,55.22204703,56.34810922,237.7465243,121.3266964
W10004_0169/PHK76,6.910496437,52.01028111,51.80369332,213.0133475,93.80972314
W10004_0169/PHP02,9.20470522,51.92781396,51.95404396,210.5889295,99.18102532
W10004_0169/PHZ51,8.488543137,52.09332533,53.67056829,253.8754829,97.00866923
W10004_0171/PHK76,10.34058544,51.82072093,52.33208687,236.4756356,109.5587562
W10004_0171/PHP02,10.89459393,52.19937691,52.30735023,246.0306644,96.10635175
W10004_0171/PHZ51,NA,55.69841328,54.62645071,261.6578183,128.607172
W10004_0178/PHK76,4.469998222,51.68394225,51.50507746,207.9787301,84.98142494
W10004_0178/PHP02,7.858240838,51.2539502,51.9327231,222.2032866,85.73822055
W10004_0178/PHZ51,7.972776709,53.73765832,54.14236509,246.2337124,111.3761932
W10004_0179/PHK76,5.727195924,50.12245587,50.37702216,202.4733869,84.56948623
W10004_0179/PHP02,9.151816859,48.7257624,50.92900238,211.3097113,89.65979795
W10004_0179/PHZ51,7.206704133,51.50137459,52.27035523,241.1929721,109.7687185
W10004_0185/PHK76,6.646029098,51.30367388,51.25986322,228.1595429,92.63694117
W10004_0185/PHP02,8.867427275,50.50980743,50.40525129,216.2946018,103.8374349
W10004_0185/PHZ51,9.522350516,52.20632992,53.20055282,233.1230338,93.68750609
W10004_0189/PHK76,5.299425466,51.92663222,52.01311281,212.2847345,99.47315235
W10004_0189/PHP02,5.621368443,51.2598881,52.19978986,217.2795926,94.59281346
W10004_0189/PHZ51,9.076473,52.49706619,53.3044027,234.1489736,92.97530044
W10004_0190/PHK76,NA,51.03590794,52.18866996,248.1505106,94.36082517
W10004_0190/PHP02,9.787068135,50.38203079,52.39580173,233.0229985,107.5673048
W10004_0190/PHZ51,7.786906147,52.5150424,54.37308026,266.8451849,122.4059402
W10004_0192/PHK76,9.732606085,50.8481728,52.38266419,233.7609291,108.739741
W10004_0192/PHP02,8.423002473,52.29818498,53.88675957,248.632769,124.1358657
W10004_0192/PHZ51,9.153147935,53.4443336,55.8902602,286.8189639,136.5302462
W10004_0194/PHK76,8.360478514,51.41219771,51.12299833,215.4189302,85.14643085
W10004_0194/PHP02,7.859168277,51.66405307,52.72543791,214.3656845,63.840885
W10004_0194/PHZ51,8.728642985,51.98300905,53.21907881,229.500518,92.71038067
W10004_0196/PHP02,8.682319697,54.20588406,54.31607592,241.342508,106.6531929
W10004_0196/PHZ51,6.553931741,54.32860094,55.42303712,261.0495067,113.9134511
W10004_0197/PHK76,NA,51.45627819,52.8088606,248.2867085,118.950109
W10004_0197/PHP02,8.446628814,51.40364025,51.46927228,254.8971689,119.934116
W10004_0197/PHZ51,6.773062974,53.90744583,53.92906585,289.6687879,128.37395
W10004_0199/PHP02,7.522741705,51.87290044,53.72422351,243.3068483,113.9233064
W10004_0199/PHZ51,4.283903692,54.80125986,54.00262291,252.2569212,111.0834698
W10004_0200/PHK76,8.464218853,52.90839339,52.61220758,219.008692,98.30751146
W10004_0200/PHZ51,7.522778496,53.06810023,53.41304762,242.0862095,110.3277131
W10004_0203/PHK76,6.59946039,51.24068819,51.1214311,238.6066352,100.8908473
W10004_0203/PHP02,9.928088574,50.11238283,52.85106426,214.0333415,89.24740025
W10004_0203/PHZ51,8.153634573,53.77279984,54.61899697,249.9357085,114.2600819
W10004_0204/PHK76,7.394822038,51.10766525,51.40769115,214.1903055,83.82331189
W10004_0204/PHP02,9.376476543,52.70698796,52.37823763,234.2935855,100.8439211
W10004_0204/PHZ51,5.899310593,56.11830997,55.85806263,265.1654778,118.7649484
W10004_0206/PHK76,5.750833315,49.58270927,49.59698462,208.0277199,78.80164215
W10004_0206/PHP02,10.04796894,49.78792009,50.616449,222.7228795,95.14201796
W10004_0206/PHZ51,8.996526805,51.69791349,53.0142178,243.6872789,93.92554294
W10004_0212/PHK76,7.524981811,51.10553096,51.68799925,238.0110864,99.72368656
W10004_0212/PHP02,6.411334371,51.11602564,52.30729536,231.644636,117.1844712
W10004_0212/PHZ51,9.165048608,53.04289461,53.88659086,256.1687551,113.134961
W10004_0213/PHK76,7.342642494,51.86969508,52.14896206,212.9982232,93.24524155
W10004_0213/PHP02,8.741160217,50.04687313,51.66496993,219.8709711,94.89391768
W10004_0213/PHZ51,9.19819111,52.51702447,52.93945452,253.2614799,114.2293929
W10004_0217/PHK76,6.992899459,49.62586729,51.22322323,203.8331583,81.49943751
W10004_0217/PHP02,7.409612202,51.11531392,51.86883943,213.7360173,91.31486395
W10004_0217/PHZ51,6.623144689,54.02823745,55.17342664,237.3648056,100.7117194
W10004_0220/PHK76,NA,52.00718782,53.04719704,217.7780123,70.48006458
W10004_0220/PHP02,8.851420355,53.14443469,53.15377432,236.8861575,105.3021422
W10004_0220/PHZ51,9.140201121,54.54008764,54.89491551,247.208173,105.8266772
W10004_0221/PHK76,9.38355271,54.78659991,56.14366396,264.1216647,131.0065471
W10004_0221/PHP02,9.603815172,49.95864232,51.61562471,229.9768695,97.77011535
W10004_0221/PHZ51,8.137121063,52.99212731,54.20972035,248.7399586,106.2570851
W10004_0223/PHK76,6.664135014,50.99647572,52.05239014,229.5072098,109.0580145
W10004_0223/PHP02,9.000647671,52.02007631,52.62513507,232.9845758,115.2177402
W10004_0223/PHZ51,8.600168331,53.53945643,53.76382717,256.996997,90.45241986
W10004_0224/PHK76,5.291867227,52.12828661,52.8515555,221.2483601,95.88237601
W10004_0224/PHP02,10.30367698,52.25848631,53.33662217,225.9769692,111.6766019
W10004_0224/PHZ51,11.7298111,53.18199677,54.10811317,268.6441378,124.3276055
W10004_0225/PHK76,9.674795242,50.68878019,50.81565238,211.4311534,84.53223704
W10004_0225/PHP02,9.234557494,50.46215277,51.40740117,235.8389807,113.6589364
W10004_0225/PHZ51,10.92197994,51.91270387,52.5418001,248.5538745,108.8037268
W10004_0227/PHK76,7.879535495,50.45958919,51.41600827,211.4073019,106.6668777
W10004_0227/PHP02,7.427913554,51.76615619,52.76992642,233.3282383,115.1018677
W10004_0227/PHZ51,8.05754717,51.58553342,52.55998209,255.1651888,109.9467503
W10004_0231/PHK76,6.897323783,49.70427072,49.84770198,225.388694,98.03549118
W10004_0231/PHP02,7.439479653,49.9026297,51.48601049,210.008591,96.5023695
