"","Data","Hybrid","Trait","Tester"
"8421",4.46072294117025,"W10004_0747 X PHP02","Growth rate","PHP02"
"8422",4.46416688833768,"W10004_0747 X PHZ51","Growth rate","PHZ51"
"8423",4.51654370032335,"W10004_0751 X PHK76","Growth rate","PHK76"
"8424",4.50001538037962,"W10004_0751 X PHP02","Growth rate","PHP02"
"8425",4.65708311663029,"W10004_0751 X PHZ51","Growth rate","PHZ51"
"8426",4.51243440858276,"W10004_0754 X PHK76","Growth rate","PHK76"
"8427",4.55234031256423,"W10004_0754 X PHP02","Growth rate","PHP02"
"8428",4.51667982106354,"W10004_0754 X PHZ51","Growth rate","PHZ51"
"8429",4.61161587817587,"W10004_0756 X PHP02","Growth rate","PHP02"
"8430",4.56362562469155,"W10004_0756 X PHZ51","Growth rate","PHZ51"
