"","Data","Hybrid","Trait","Tester"
"8431",4.54887485341685,"W10004_0757 X PHK76","Growth rate","PHK76"
"8432",4.46255007124372,"W10004_0757 X PHP02","Growth rate","PHP02"
"8433",4.51383882887016,"W10004_0757 X PHZ51","Growth rate","PHZ51"
"8434",4.60343927235389,"W10004_0760 X PHK76","Growth rate","PHK76"
"8435",4.61909501690957,"W10004_0760 X PHP02","Growth rate","PHP02"
"8436",4.56628069616667,"W10004_0760 X PHZ51","Growth rate","PHZ51"
"8437",4.50351221890439,"W10004_0768 X PHK76","Growth rate","PHK76"
"8438",4.61190681707716,"W10004_0768 X PHP02","Growth rate","PHP02"
"8439",4.53940742355893,"W10004_0768 X PHZ51","Growth rate","PHZ51"
"8440",4.5065520989308,"W10004_0771 X PHK76","Growth rate","PHK76"
