Pedigree,Height.15,Height.17,Height.22,Height.24,Height.27,Height.30,Height.32,Height.37,Height.39,Height.41,Height.45,Height.48,Height.51,Height.56,Height.60,Height.62,Height.69,Height.73,Height.76,Height.80,Height.83,Height.87,Height.90,Height.99,Height.101,Height.104,Height.107,Height.111,Height.114,Height.118,Height.122,Height.126
2369 X LH123HT,0.045480507,0.062206616,0.142768765,0.196208179,0.305761968,0.455354841,0.578431855,0.95876615,1.130925177,1.306460599,1.640968235,1.853052972,2.016811939,2.18070476,2.238138704,2.252178627,2.268197439,2.269502975,2.269766883,2.269878295,2.269911512,2.26993659,2.269933751,2.26996997,2.26997268,2.269975895,2.269978306,2.269980597,2.269981804,2.269937827,2.269983673,2.269984153
B14A X H95,-0.017704786,-0.001201918,0.076205192,0.126751395,0.229577226,0.369302239,0.484198111,0.841492786,1.005325447,1.174414469,1.504839523,1.722771437,1.898379089,2.085502348,2.156554688,2.174988074,2.198041884,2.200597503,2.201299572,2.201668225,2.201774538,2.20183393,2.201837414,2.201880173,2.201883193,2.201886757,2.201889424,2.201891957,2.201893291,2.201844679,2.201895357,2.201895887
B14A X MO17,0.055775427,0.069707363,0.138955628,0.18604611,0.284449668,0.421903888,0.537209451,0.90472248,1.07657511,1.255578109,1.608862534,1.843099227,2.031136703,2.227167479,2.297084994,2.313737848,2.331159349,2.332239897,2.33243212,2.33251881,2.332549132,2.332573713,2.332570847,2.332607063,2.332609773,2.332612988,2.3326154,2.33261769,2.332618898,2.33257492,2.332620766,2.332621246
B14A X OH43,0.004548197,0.022635854,0.106657578,0.161027563,0.27080245,0.418629235,0.539280828,0.910461438,1.078986086,1.251969463,1.587494652,1.807140879,1.983294104,2.170403096,2.24136386,2.259708946,2.282011965,2.284091799,2.284551008,2.284747747,2.284799377,2.284832041,2.284829598,2.284869814,2.28487281,2.284876364,2.28487903,2.284881562,2.284882896,2.284834284,2.284884962,2.284885492
B37 X H95,0.012813115,0.029389398,0.106474058,0.15640588,0.257339719,0.393548819,0.505006604,0.850029346,1.008075022,1.171542558,1.49375709,1.710580848,1.890657517,2.09521237,2.182599186,2.207911978,2.244107791,2.248650022,2.24978973,2.250279542,2.250386813,2.250436141,2.25043686,2.250474136,2.250476851,2.250480068,2.25048248,2.250484771,2.250485978,2.250442001,2.250487846,2.250488327
B37 X MO17,0.046829709,0.062225898,0.136379636,0.185679713,0.28715061,0.426719536,0.542531772,0.907009501,1.075859365,1.251020658,1.595140986,1.822340901,2.004115421,2.19291722,2.260564491,2.27705017,2.295542137,2.296987029,2.297274059,2.29739427,2.297429246,2.297454867,2.297452088,2.297488319,2.297491028,2.297494243,2.297496655,2.297498945,2.297500153,2.297456176,2.297502021,2.297502501
B37 X OH43,0.035742669,0.051043573,0.125879954,0.176098183,0.279929865,0.423118024,0.541910919,0.913886061,1.084635017,1.260355431,1.600394688,1.820256597,1.992868771,2.168403252,2.230187467,2.245134777,2.261832135,2.263142942,2.263405356,2.263516153,2.263549288,2.263574347,2.263571505,2.263607724,2.263610434,2.263613648,2.26361606,2.263618351,2.263619558,2.263575581,2.263621427,2.263621907
B73 X MO17,0.066027866,0.082778589,0.164086496,0.218275447,0.329672631,0.482208899,0.607994006,0.998325389,1.175983759,1.357942136,1.707723114,1.932274386,2.107534748,2.284065783,2.344889735,2.359190499,2.374363839,2.375426177,2.375635216,2.375729823,2.375761157,2.375785908,2.375783049,2.375819267,2.375821977,2.375825191,2.375827603,2.375829894,2.375831101,2.375787124,2.37583297,2.37583345
B73 X PHM49,-0.021621924,-0.005076756,0.074838863,0.127981318,0.237139448,0.386529387,0.509665008,0.891168755,1.064263887,1.240981021,1.578333022,1.792534215,1.957798302,2.121715194,2.17736963,2.190463318,2.204667782,2.205824213,2.20610166,2.206254339,2.206311757,2.2063587,2.20635322,2.206422435,2.206427613,2.206433757,2.206438366,2.206442744,2.206445051,2.206361006,2.206448622,2.20644954
B73 X PHN82,0.027390623,0.041957503,0.11316988,0.160965069,0.259868847,0.396520815,0.510177777,0.868240345,1.033968187,1.205632202,1.541773491,1.762627781,1.938479155,2.119693403,2.183432002,2.198528672,2.214522068,2.215588136,2.21577887,2.215855579,2.215878876,2.215896874,2.215894808,2.215921026,2.215922988,2.215925315,2.215927061,2.215928719,2.215929593,2.215897758,2.215930946,2.215931293
B73 X TX779,0.08731221,0.104227575,0.183856753,0.235819115,0.341276876,0.484064058,0.601113351,0.963831072,1.12994673,1.301618781,1.639253445,1.865547279,2.052591594,2.26340656,2.352517415,2.378132792,2.414392245,2.418808798,2.419873751,2.420306079,2.420394245,2.420434268,2.420433017,2.420469534,2.420472244,2.420475459,2.420477871,2.420480161,2.420481369,2.420437392,2.420483237,2.420483717
CG119 X CG108,-0.126317415,-0.112426699,-0.041406369,0.008669906,0.117252827,0.275831733,0.412753589,0.844927409,1.029035661,1.199381733,1.466227287,1.603056076,1.697592659,1.784114492,1.812075726,1.818621369,1.825883035,1.826519394,1.826677458,1.826765507,1.826798711,1.826825863,1.826822693,1.826862727,1.826865722,1.826869276,1.826871942,1.826874474,1.826875809,1.826827197,1.826877874,1.826878405
CG44 X CGR01,-0.002220906,0.011654346,0.082590677,0.131973128,0.236893653,0.385554714,0.51082586,0.903356926,1.078620897,1.252323688,1.560138856,1.732929286,1.851170908,1.953576303,1.98429246,1.991099582,1.998254269,1.998839634,1.998983091,1.99906278,1.999092819,1.999117382,1.999114515,1.999150731,1.999153441,1.999156656,1.999159068,1.999161358,1.999162566,1.999118588,1.999164434,1.999164914
F42 X H95,0.030562387,0.047923384,0.128204143,0.180089312,0.284901549,0.426274113,0.541887062,0.898941369,1.061770652,1.229412127,1.556228917,1.771627436,1.945517917,2.132000351,2.203660801,2.222388378,2.245617398,2.2479854,2.248581369,2.248877121,2.248961122,2.249009258,2.249011279,2.249049535,2.249052264,2.249055487,2.249057901,2.249060192,2.249061399,2.249017422,2.249063267,2.249063748
F42 X MO17,0.020939249,0.039951261,0.129157535,0.187237658,0.304848727,0.463472213,0.592880719,0.989299637,1.16788373,1.349891881,1.697731291,1.920053844,2.093586952,2.270268254,2.330174449,2.349359512,2.367812831,2.369446906,2.369803722,2.369957104,2.369996804,2.370020626,2.370019472,2.370045961,2.370047924,2.370050251,2.370051997,2.370053655,2.370054529,2.370022694,2.370055882,2.370056229
F42 X OH43,0.022807258,0.04149611,0.129784523,0.187459461,0.304344668,0.461867771,0.590110924,0.980585727,1.154948046,1.331394228,1.664158866,1.872805621,2.032455023,2.189950444,2.243589733,2.256340433,2.270415024,2.271590991,2.271872307,2.272025829,2.2720833,2.272130247,2.272124768,2.272193982,2.272199161,2.272205304,2.272209914,2.272214291,2.272216599,2.272132553,2.27222017,2.272221087
LH195 X TX779,0.005808893,0.024686216,0.108096443,0.160386624,0.264061798,0.401392114,0.512340953,0.850596972,1.003645894,1.160978905,1.468757141,1.674601986,1.845400566,2.041434407,2.128629393,2.155418818,2.199225824,2.207224656,2.210135136,2.212102479,2.212856589,2.213392227,2.213586458,2.213821716,2.213835688,2.213848186,2.213854889,2.213859427,2.21386123,2.21381753,2.21386345,2.213863949
LH74 X PHN82,-0.03649637,-0.017851532,0.069444955,0.126029979,0.23999493,0.392458297,0.515840827,0.888472251,1.053747128,1.220497254,1.534122667,1.730662397,1.881408888,2.031161518,2.082778564,2.09510284,2.108560348,2.109555103,2.109754191,2.109845755,2.109876716,2.109901402,2.109898541,2.109934758,2.109937468,2.109940682,2.109943094,2.109945385,2.109946592,2.109902615,2.10994846,2.109948941
LH82 X TX779,0.003466447,0.022133751,0.10651399,0.159989496,0.266428865,0.407685689,0.521818985,0.86937329,1.02639267,1.187676534,1.502909036,1.713604452,1.888300499,2.088061103,2.175591748,2.201837228,2.24216614,2.248291675,2.250117727,2.251055754,2.251298009,2.251410257,2.251424016,2.251466347,2.251469098,2.251472328,2.251474742,2.251477033,2.25147824,2.251434263,2.251480109,2.251480589
LOCAL_CHECK,0.063165943,0.079988289,0.161545986,0.21584721,0.327335011,0.479621431,0.604801864,0.990240776,1.163751152,1.339870727,1.672609239,1.880750032,2.038915413,2.192525447,2.243444991,2.255229537,2.267738314,2.268644006,2.268830061,2.268918925,2.268949707,2.268974374,2.268971511,2.269007728,2.269010438,2.269013653,2.269016065,2.269018355,2.269019563,2.268975585,2.269021431,2.269021911
PB80 X TX779,0.058670392,0.073332703,0.143368826,0.189631761,0.284436087,0.414302454,0.521821407,0.860139286,1.01745683,1.181549216,1.508788573,1.731522321,1.917624019,2.128755347,2.217268785,2.242193517,2.275847041,2.279433749,2.280199862,2.280479346,2.280535059,2.280564909,2.280562432,2.2805987,2.280601409,2.280604624,2.280607036,2.280609327,2.280610534,2.280566557,2.280612402,2.280612882
PHB47 X PHN82,-0.03115983,-0.013833348,0.067959474,0.121400199,0.229808784,0.376224741,0.495759925,0.862111773,1.027169925,1.195378022,1.516736399,1.721936378,1.881731242,2.043019446,2.099354483,2.112894391,2.12787489,2.129042808,2.129283226,2.129389941,2.129423133,2.129448328,2.129445509,2.129481732,2.129484442,2.129487657,2.129490069,2.129492359,2.129493567,2.129449589,2.129495435,2.129495915
PHG39 X PHN82,0.059330646,0.075454151,0.152286449,0.202927632,0.306439855,0.447584037,0.563774989,0.924369402,1.088797442,1.257534287,1.583304729,1.794238192,1.961232489,2.136091999,2.202348885,2.21978583,2.241872596,2.244114086,2.244619081,2.244827063,2.244876652,2.24490607,2.244903668,2.244939964,2.244942673,2.244945888,2.2449483,2.24495059,2.244951798,2.244907821,2.244953666,2.244954146
PHW52 X PHM49,0.020449614,0.037771405,0.117843995,0.169526229,0.273765466,0.414063156,0.528572812,0.881117729,1.041375102,1.206030075,1.525932116,1.735786913,1.904360353,2.083640904,2.151634856,2.169211887,2.190728748,2.192832552,2.193322919,2.193540095,2.193595969,2.193628975,2.193627356,2.193663938,2.193666649,2.193669864,2.193672276,2.193674567,2.193675774,2.193631797,2.193677642,2.193678123
PHW52 X PHN82,-0.002505948,0.013120177,0.088596213,0.138793664,0.24196378,0.383376596,0.500197945,0.864282057,1.030908614,1.202253921,1.533960396,1.749031721,1.918674458,2.092633737,2.154423869,2.169363091,2.185660711,2.186805568,2.187019624,2.18711306,2.187144036,2.187168712,2.187165849,2.187202067,2.187204776,2.187207991,2.187210403,2.187212693,2.187213901,2.187169924,2.187215769,2.187216249
REDEAR X LH195,0.041474235,0.057887509,0.133597952,0.182337488,0.280479156,0.412484421,0.520344644,0.854532862,1.008264781,1.168072022,1.486978354,1.706587553,1.894762698,2.122526154,2.231858005,2.267384858,2.328680063,2.339976732,2.343728897,2.345828481,2.346413377,2.346693509,2.346746656,2.34680785,2.346810836,2.346814174,2.346816609,2.346818904,2.346820112,2.346776135,2.34682198,2.34682246
TX714 X TX779,0.035757282,0.053260114,0.134583099,0.187122815,0.293022044,0.435409525,0.551581387,0.909979452,1.073857223,1.243391658,1.578518339,1.805822142,1.996997585,2.220060934,2.319944441,2.350081062,2.39520645,2.401088111,2.402518295,2.403085788,2.403194025,2.403238633,2.403237755,2.403274322,2.403277032,2.403280247,2.403282658,2.403284949,2.403286156,2.403242179,2.403288025,2.403288505
TX773 X TX779,0.081025002,0.10080836,0.18739409,0.241039643,0.346347857,0.484316998,0.59492233,0.929691785,1.080831587,1.236565024,1.544350253,1.755212459,1.936663367,2.161894746,2.27749056,2.318011736,2.39795826,2.416760368,2.424121136,2.428947791,2.430550114,2.431447834,2.431684878,2.431864509,2.43187029,2.431875244,2.431878138,2.431880565,2.431881789,2.431837816,2.431883662,2.431884142
TX777 X LH195,0.066069968,0.082422463,0.157812186,0.206330723,0.30401743,0.435414679,0.542796434,0.875712463,1.029025139,1.188564114,1.507726142,1.728548785,1.919016482,2.152760846,2.267734383,2.305900077,2.373479266,2.386233371,2.390445306,2.392750808,2.393367447,2.393647855,2.393696786,2.393753677,2.39375656,2.393759843,2.393762267,2.393764559,2.393765767,2.393721789,2.393767635,2.393768115
TX779 X LH195,0.022425333,0.04014948,0.120662783,0.171847621,0.273919401,0.409639481,0.519459764,0.8546195,1.006409612,1.162604443,1.469003096,1.675071706,1.847321053,2.04743005,2.137420569,2.164937166,2.207600476,2.213729393,2.215359721,2.21607179,2.216221098,2.216282198,2.216284004,2.216321326,2.216324038,2.216327254,2.216329665,2.216331956,2.216333163,2.216289186,2.216335032,2.216335512
W10004_0006 X PHK76,0.157359806,0.173964431,0.255557983,0.310522067,0.424319709,0.580943883,0.710125464,1.106602929,1.28291328,1.459533893,1.784358983,1.979991119,2.124119076,2.260937884,2.30658253,2.317491963,2.329794591,2.330890874,2.33116396,2.331316173,2.33137358,2.331420522,2.331415042,2.331484257,2.331489435,2.331495579,2.331500188,2.331504566,2.331506873,2.331422828,2.331510444,2.331511362
W10004_0006 X PHP02,0.020506152,0.037899586,0.12111409,0.176009592,0.288054801,0.440238499,0.564879959,0.947372261,1.119300999,1.293852825,1.624327083,1.832181758,1.991376749,2.148176733,2.201258387,2.213792613,2.227530282,2.228676267,2.228953408,2.229106122,2.229163545,2.229210488,2.229205008,2.229274223,2.229279401,2.229285545,2.229290154,2.229294532,2.229296839,2.229212794,2.22930041,2.229301328
W10004_0006 X PHZ51,0.019343622,0.037289396,0.122080305,0.177493941,0.289892471,0.441641095,0.565469544,0.94458042,1.115170683,1.288880414,1.620522635,1.832498134,1.99825926,2.167751545,2.228682551,2.243774373,2.261037753,2.262451595,2.262753023,2.262897332,2.262947083,2.262986936,2.262982307,2.263040853,2.263045233,2.26305043,2.263054329,2.263058032,2.263059984,2.262988893,2.263063004,2.26306378
W10004_0007 X PHK76,-0.00194361,0.01512922,0.096538953,0.150109547,0.259263571,0.40726303,0.528333628,0.899432919,1.0661556,1.235445181,1.556246916,1.758454479,1.913815039,2.06785236,2.12068565,2.133318237,2.147354732,2.148511025,2.148774301,2.148910167,2.148959277,2.148999053,2.148994421,2.149052967,2.149057347,2.149062544,2.149066443,2.149070146,2.149072098,2.149001007,2.149075118,2.149075894
W10004_0007 X PHP02,0.042391811,0.060391357,0.146018765,0.202254584,0.316658487,0.471477572,0.597916343,0.984456196,1.157641393,1.333181933,1.664869515,1.873146859,2.032575217,2.18970878,2.243053899,2.255689957,2.269583496,2.270742596,2.271021456,2.271174479,2.271231918,2.271278862,2.271273383,2.271342597,2.271347776,2.27135392,2.271358529,2.271362906,2.271365214,2.271281168,2.271368785,2.271369702
W10004_0007 X PHZ51,-0.009582833,0.007493482,0.088945976,0.142576348,0.251966672,0.400605567,0.522536375,0.898753717,1.069345875,1.243880098,1.579607616,1.796287385,1.967313761,2.144552713,2.209415323,2.22568118,2.24447326,2.2460077,2.246326408,2.246474274,2.246524251,2.246564125,2.246559495,2.246618042,2.246622422,2.246627619,2.246631518,2.24663522,2.246637172,2.246566081,2.246640193,2.246640969
W10004_0008 X PHK76,-0.034094267,-0.018560094,0.05698995,0.107541187,0.211890079,0.355483791,0.474315536,0.843941337,1.011850574,1.183038243,1.507925207,1.711541944,1.865934591,2.014820491,2.063766199,2.07517173,2.087739261,2.088837315,2.089110436,2.089262649,2.089320056,2.089366998,2.089361518,2.089430733,2.089435911,2.089442055,2.089446664,2.089451042,2.08945335,2.089369304,2.08945692,2.089457838
W10004_0008 X PHP02,0.075954106,0.093267366,0.175809385,0.230128179,0.34082807,0.49097941,0.613862878,0.990831587,1.160349968,1.332584598,1.659304437,1.865537093,2.02421069,2.18177,2.235799008,2.248686552,2.262928099,2.264112896,2.264395016,2.264548628,2.264606099,2.264653046,2.264647566,2.264716781,2.26472196,2.264728103,2.264732713,2.26473709,2.264739398,2.264655352,2.264742968,2.264743886
W10004_0008 X PHZ51,-0.010528465,0.006650526,0.088992019,0.143415812,0.254712256,0.406303678,0.530814778,0.914989736,1.088809346,1.266127874,1.604772491,1.820499788,1.987990096,2.1564841,2.215227016,2.229376192,2.245064396,2.246337606,2.246630334,2.24678581,2.246843381,2.246890336,2.246884857,2.246954071,2.24695925,2.246965394,2.246970003,2.24697438,2.246976688,2.246892642,2.246980259,2.246981176
W10004_0010 X PHK76,-0.017834133,-0.001901809,0.075954497,0.128233761,0.23639277,0.385503364,0.508979407,0.892524093,1.066081248,1.242308443,1.573860757,1.778860484,1.93224361,2.078013513,2.125599155,2.136743138,2.149145436,2.150242022,2.150515111,2.150667324,2.150724731,2.150771673,2.150766193,2.150835408,2.150840586,2.15084673,2.150851339,2.150855717,2.150858025,2.150773979,2.150861595,2.150862513
W10004_0010 X PHP02,-0.006296074,0.009806502,0.088062947,0.140382146,0.248321453,0.396823303,0.519768149,0.903152704,1.078151626,1.257404889,1.60106628,1.820059798,1.989168719,2.156326902,2.212430297,2.225464722,2.239433945,2.24056799,2.240843088,2.240995455,2.241052864,2.241099806,2.241094326,2.241163541,2.24116872,2.241174863,2.241179473,2.24118385,2.241186158,2.241102112,2.241189728,2.241190646
W10004_0010 X PHZ51,0.079950281,0.096051572,0.174008869,0.225952383,0.332840823,0.479506379,0.60072564,0.978380014,1.15094655,1.328085566,1.669680788,1.889795948,2.062214949,2.236964099,2.297861323,2.312375313,2.328105729,2.329300376,2.329561932,2.329696152,2.32974503,2.329784767,2.329780133,2.329838679,2.329843059,2.329848256,2.329852155,2.329855857,2.329857809,2.329786718,2.32986083,2.329861606
W10004_0011 X PHK76,-0.063539432,-0.047307328,0.031460361,0.084036526,0.19232503,0.340936721,0.463653555,0.844368977,1.017054809,1.193110656,1.527791646,1.738513695,1.899321434,2.055881305,2.107728561,2.119768553,2.132847065,2.13395555,2.134229131,2.134381373,2.13443878,2.134485722,2.134480242,2.134549457,2.134554636,2.134560779,2.134565389,2.134569766,2.134572074,2.134488028,2.134575644,2.134576562
W10004_0011 X PHP02,0.118843105,0.136064283,0.218119178,0.272114424,0.382197066,0.531652282,0.654117979,1.030879517,1.200954258,1.37427649,1.704980648,1.915640661,2.079431731,2.245030194,2.303482842,2.317766313,2.333935461,2.335288446,2.335596459,2.335755871,2.335813775,2.335860773,2.335855295,2.335924509,2.335929688,2.335935832,2.335940441,2.335944818,2.335947126,2.33586308,2.335950697,2.335951614
W10004_0011 X PHZ51,0.024844319,0.043540778,0.130300965,0.186311384,0.299075407,0.450276069,0.573146795,0.948139299,1.11682109,1.288860363,1.619075755,1.832569708,2.002296946,2.181994436,2.251195039,2.269620879,2.293152926,2.295536139,2.296066711,2.296290829,2.296351476,2.296393626,2.296389166,2.296447734,2.296452115,2.296457311,2.29646121,2.296464913,2.296466865,2.296395774,2.296469885,2.296470661
W10004_0013 X PHK76,0.095671657,0.112708195,0.1943373,0.248259371,0.358444237,0.508319479,0.631230124,1.009204973,1.179477233,1.352590422,1.681082379,1.888293005,2.04742607,2.204736624,2.258219793,2.270878825,2.284764522,2.285918646,2.286196615,2.286349449,2.286406877,2.28645382,2.28644834,2.286517555,2.286522734,2.286528877,2.286533487,2.286537864,2.286540172,2.286456126,2.286543742,2.28654466
W10004_0013 X PHP02,-0.083683934,-0.066649168,0.015124258,0.069178974,0.179591468,0.32953414,0.452201876,0.827183417,0.994743118,1.164033975,1.481620762,1.678733341,1.827739128,1.972074953,2.020201626,2.031544455,2.044125952,2.045226064,2.0454993,2.045651522,2.045708928,2.04575587,2.04575039,2.045819605,2.045824784,2.045830927,2.045835537,2.045839914,2.045842222,2.045758176,2.045845793,2.04584671
W10004_0013 X PHZ51,0.070687318,0.088122672,0.17113867,0.225721993,0.336907973,0.487668409,0.61104197,0.989649223,1.160042381,1.333304076,1.662539451,1.870964079,2.031883503,2.192641199,2.248296081,2.261672662,2.276552217,2.277786522,2.278075585,2.278230606,2.278288168,2.278335124,2.278329645,2.27839886,2.278404038,2.278410182,2.278414791,2.278419168,2.278421476,2.27833743,2.278425047,2.278425964
W10004_0014 X PHK76,0.150564172,0.167738004,0.250546721,0.305483126,0.418024909,0.571422516,0.697333079,1.084330936,1.258252136,1.434589315,1.767029399,1.974264225,2.131045182,2.281973331,2.331228485,2.342522464,2.35457434,2.355550093,2.355784911,2.355914141,2.355962716,2.356002424,2.355997789,2.356056335,2.356060715,2.356065912,2.356069811,2.356073514,2.356075465,2.356004374,2.356078486,2.356079262
W10004_0014 X PHP02,0.169957153,0.187740843,0.272407256,0.328045981,0.441284905,0.594598909,0.719850573,1.10290413,1.27456683,1.448572149,1.777335393,1.983717173,2.141624309,2.297134928,2.349871999,2.362357807,2.376091063,2.377241507,2.377519404,2.377672269,2.377729701,2.377776645,2.377771165,2.37784038,2.377845558,2.377851702,2.377856311,2.377860689,2.377862996,2.377778951,2.377866567,2.377867485
W10004_0014 X PHZ51,0.028986295,0.047006609,0.132445973,0.188447034,0.302279422,0.456297003,0.58215016,0.96777933,1.141190662,1.317513799,1.652786599,1.865444959,2.030132155,2.195687022,2.253662549,2.267744007,2.283592942,2.284915268,2.285218538,2.285376905,2.285434735,2.285481724,2.285476246,2.285545461,2.285550639,2.285556783,2.285561392,2.28556577,2.285568077,2.285484032,2.285571648,2.285572565
W10004_0018 X PHK76,-0.053192882,-0.035040247,0.050883403,0.107107888,0.221208668,0.375233446,0.500805276,0.883961608,1.055415063,1.229135524,1.557385476,1.763683952,1.9218712,2.078378729,2.131887364,2.14464333,2.15876073,2.159942485,2.160224687,2.160378392,2.160435875,2.160482823,2.160477344,2.160546559,2.160551737,2.160557881,2.16056249,2.160566868,2.160569175,2.16048513,2.160572746,2.160573663
W10004_0018 X PHP02,-0.037118587,-0.020097856,0.061768283,0.116005052,0.227061215,0.378449199,0.502794634,0.885865923,1.058640484,1.234357146,1.567748543,1.777799933,1.938750811,2.097081744,2.150448609,2.16298943,2.176663471,2.177800437,2.178076401,2.178228919,2.178286333,2.178333276,2.178327796,2.178397011,2.178402189,2.178408333,2.178412942,2.17841732,2.178419627,2.178335582,2.178423198,2.178424116
W10004_0018 X PHZ51,0.028370572,0.046841666,0.13422095,0.191373301,0.307326859,0.463820291,0.591395367,0.980712872,1.154987946,1.331636869,1.66571039,1.875974539,2.037475298,2.197699766,2.252691757,2.265833806,2.280393309,2.281603654,2.281889574,2.282044002,2.28210153,2.282148483,2.282143004,2.282212218,2.282217397,2.28222354,2.28222815,2.282232527,2.282234835,2.282150789,2.282238406,2.282239323
W10004_0019X PHZ51,-0.040609274,-0.022693837,0.062755228,0.118985555,0.233541708,0.38880925,0.515766481,0.90450482,1.07891118,1.255811776,1.5903574,1.800585408,1.961553314,2.120158805,2.173923549,2.186633787,2.200570514,2.201728334,2.202006831,2.202159767,2.2022172,2.202264144,2.202258665,2.20232788,2.202333058,2.202339202,2.202343811,2.202348188,2.202350496,2.20226645,2.202354067,2.202354984
W10004_0026 X PHK76,-0.00553027,0.011454119,0.09239212,0.145644993,0.254180631,0.401457587,0.522073845,0.892830621,1.060053939,1.230365263,1.554772941,1.760489955,1.919069285,2.075811129,2.128426027,2.14060714,2.153510212,2.154491962,2.154713316,2.154829046,2.15487141,2.154905847,2.154901832,2.15495256,2.154956355,2.154960858,2.154964236,2.154967444,2.154969135,2.154907538,2.154971752,2.154972425
W10004_0026 X PHP02,0.107837991,0.125220724,0.208748478,0.264033692,0.377126213,0.531054136,0.657271072,1.044702407,1.218621196,1.39485901,1.72697877,1.934172222,2.091398976,2.244287356,2.295439426,2.307486811,2.320729814,2.321816372,2.322067659,2.322200397,2.322249216,2.32228895,2.322284316,2.322342862,2.322347242,2.322352439,2.322356338,2.322360041,2.322361993,2.322290902,2.322365013,2.322365789
W10004_0026 X PHZ51,0.03770219,0.056586415,0.145133091,0.20267083,0.318899758,0.475099047,0.602088336,0.988785026,1.161867938,1.337540308,1.671178251,1.882973367,2.047499481,2.214160269,2.273401807,2.28799332,2.304722958,2.306139204,2.306450741,2.306600696,2.306651421,2.306691492,2.306686877,2.306745426,2.306749806,2.306755003,2.306758901,2.306762604,2.306764556,2.306693465,2.306767576,2.306768353
W10004_0027 X PHK76,-0.021123324,-0.004677256,0.074621011,0.127265602,0.23523023,0.382653297,0.503890235,0.877866332,1.046645229,1.218284385,1.543652159,1.748196042,1.904447327,2.057364272,2.108577411,2.120584506,2.133720144,2.134834655,2.13510874,2.135261035,2.135318443,2.135365385,2.135359905,2.13542912,2.135434298,2.135440442,2.135445051,2.135449429,2.135451736,2.135367691,2.135455307,2.135456225
W10004_0027 X PHP02,-0.01428819,0.00345278,0.087607555,0.142774536,0.254893973,0.406516717,0.530322597,0.909004902,1.078874014,1.251254247,1.577771126,1.783632545,1.941964748,2.09930113,2.153411483,2.16636493,2.180747553,2.181949788,2.18223481,2.18238908,2.182446598,2.18249355,2.182488071,2.182557286,2.182562464,2.182568608,2.182573217,2.182577594,2.182579902,2.182495856,2.182583473,2.18258439
W10004_0027 X PHZ51,0.019558511,0.037686868,0.123228201,0.179070491,0.292235868,0.444846126,0.569250921,0.949483133,1.120261345,1.293943082,1.62480081,1.835601559,1.99987225,2.166864456,2.226332319,2.240938933,2.257479371,2.258818222,2.259106331,2.259247176,2.259296609,2.259336417,2.259331786,2.259390332,2.259394713,2.259399909,2.259403808,2.259407511,2.259409463,2.259338372,2.259412483,2.259413259
W10004_0031 X PHK76,0.119631876,0.137667361,0.223268628,0.279396892,0.393483226,0.547799843,0.673850715,1.059856895,1.233359036,1.409748343,1.745097164,1.957701943,2.122108865,2.286495069,2.343182468,2.356667799,2.371338392,2.372474054,2.372727838,2.372860465,2.372909238,2.372948965,2.372944331,2.373002877,2.373007257,2.373012454,2.373016353,2.373020055,2.373022007,2.372950916,2.373025028,2.373025804
W10004_0031 X PHP02,0.057372901,0.074331883,0.155761008,0.209619848,0.3197709,0.469770274,0.592931091,0.972728534,1.144513272,1.319770896,1.654705509,1.868425886,2.034754812,2.202837492,2.261883731,2.276188143,2.29212045,2.293386155,2.293661568,2.293799262,2.293848423,2.293888195,2.293883562,2.293942108,2.293946488,2.293951685,2.293955584,2.293959287,2.293961238,2.293890147,2.293964259,2.293965035
W10004_0031 X PHZ51,0.052103065,0.071733113,0.162956253,0.22187465,0.340436903,0.499156567,0.627831541,1.018172814,1.19223256,1.368462483,1.701732107,1.912015708,2.074357404,2.237333648,2.294619751,2.308648137,2.324704272,2.326096172,2.326417275,2.326581685,2.326640254,2.326687377,2.326681907,2.326751122,2.326756301,2.326762445,2.326767054,2.326771431,2.326773739,2.326689693,2.32677731,2.326778227
W10004_0032 X PHK76,-0.027374122,-0.011040403,0.068210072,0.121098429,0.230006465,0.37942072,0.502760982,0.885191721,1.05854539,1.235207671,1.570813808,1.781940401,1.942942242,2.099569745,2.151408134,2.163444594,2.176520662,2.177629175,2.177902761,2.178055004,2.178112411,2.178159353,2.178153874,2.178223088,2.178228267,2.178234411,2.17823902,2.178243397,2.178245705,2.178161659,2.178249276,2.178250193
W10004_0032 X PHP02,-0.012228186,0.00533333,0.089443853,0.144924406,0.258059968,0.41143059,0.536756864,0.919538859,1.090608311,1.263568008,1.588619231,1.790891451,1.944065347,2.092284089,2.141185361,2.152499622,2.164652806,2.165637482,2.165873324,2.166002727,2.166051311,2.16609102,2.166086385,2.166144931,2.166149311,2.166154508,2.166158407,2.166162109,2.166164061,2.16609297,2.166167082,2.166167858
W10004_0032 X PHZ51,0.074422951,0.091092525,0.171257069,0.224380772,0.33322442,0.481775052,0.603967947,0.981615488,1.152658221,1.327177974,1.660329745,1.872182802,2.036165267,2.200051851,2.256503634,2.26995628,2.284719584,2.285920286,2.286203092,2.286356649,2.286414107,2.286461052,2.286455573,2.286524787,2.286529966,2.28653611,2.286540719,2.286545096,2.286547404,2.286463358,2.286550975,2.286551892
