Pedigree,Height.15,Height.17,Height.22,Height.24,Height.27,Height.30,Height.32,Height.37,Height.39,Height.41,Height.45,Height.48,Height.51,Height.56,Height.60,Height.62,Height.69,Height.73,Height.76,Height.80,Height.83,Height.87,Height.90,Height.99,Height.101,Height.104,Height.107,Height.111,Height.114,Height.118,Height.122,Height.126
W10004_0636 X PHP02,0.061916518,0.07937487,0.163270391,0.218796111,0.332375803,0.486977783,0.613779652,1.003396384,1.178598157,1.356416408,1.692611639,1.903420126,2.064204166,2.221377198,2.273973494,2.286290018,2.299717538,2.300843256,2.301118245,2.301270643,2.301328054,2.301374996,2.301369516,2.301438731,2.30144391,2.301450053,2.301454663,2.30145904,2.301461348,2.301377302,2.301464918,2.301465836
W10004_0636 X PHZ51,0.07392339,0.092096739,0.178252036,0.234712565,0.34945558,0.50465747,0.631438705,1.019688696,1.194163029,1.371484715,1.708378504,1.921806058,2.086865532,2.252406608,2.31014852,2.324122276,2.339781118,2.341081393,2.341380747,2.341538125,2.341595869,2.341642847,2.341637368,2.341706583,2.341711761,2.341717905,2.341722514,2.341726892,2.341729199,2.341645154,2.34173277,2.341733688
W10004_0637 X PHK76,-0.030575291,-0.014861353,0.061870402,0.113373948,0.219911445,0.366778292,0.488400419,0.866233214,1.03722474,1.210851611,1.537505762,1.739478832,1.890645405,2.034530738,2.081689185,2.092774349,2.10514792,2.106244378,2.106517466,2.106669679,2.106727085,2.106774027,2.106768547,2.106837762,2.106842941,2.106849084,2.106853694,2.106858071,2.106860379,2.106776333,2.106863949,2.106864867
W10004_0637 X PHP02,0.018554086,0.034687883,0.113150801,0.165621162,0.273845215,0.422595946,0.545560451,0.927432023,1.100686286,1.277248752,1.61235179,1.822608896,1.982339526,2.136751001,2.1874921,2.199252785,2.212079493,2.213181606,2.213454869,2.213607089,2.213664496,2.213711438,2.213705958,2.213775173,2.213780351,2.213786495,2.213791104,2.213795482,2.213797789,2.213713744,2.21380136,2.213802278
W10004_0637 X PHZ51,0.020857444,0.037912516,0.119746293,0.173869965,0.284582844,0.435382106,0.559207668,0.940839521,1.113190582,1.288723044,1.622817308,1.834455289,1.997680192,2.160012502,2.215606288,2.228812847,2.2432941,2.244479621,2.244760887,2.244914222,2.244971671,2.245018616,2.245013136,2.245082351,2.24508753,2.245093673,2.245098283,2.24510266,2.245104968,2.245020922,2.245108538,2.245109456
W10004_0639 X PHK76,0.050023479,0.067061422,0.148858264,0.202991031,0.313797293,0.464881553,0.589079863,0.972726042,1.146480528,1.323826142,1.662750669,1.878783544,2.046547438,2.215259152,2.273982718,2.288096328,2.303695078,2.304955931,2.305246544,2.30540154,2.305459078,2.305506029,2.30550055,2.305569765,2.305574943,2.305581087,2.305585696,2.305590074,2.305592381,2.305508336,2.305595952,2.30559687
W10004_0639 X PHP02,0.083173585,0.098042281,0.170183075,0.2184276,0.318146019,0.45590401,0.57055396,0.932393234,1.100207702,1.274247308,1.615721207,1.840770151,2.020699875,2.207875352,2.275260002,2.291796398,2.310705861,2.312333241,2.312688894,2.312852071,2.31290418,2.31294446,2.312939855,2.312998403,2.313002783,2.31300798,2.313011879,2.313015582,2.313017534,2.312946443,2.313020554,2.31302133
W10004_0639 X PHZ51,0.137618869,0.153544788,0.230613971,0.281978976,0.387747368,0.533050484,0.653305125,1.028983619,1.201247348,1.378568206,1.722502181,1.946404289,2.12419743,2.309330867,2.377032231,2.393890878,2.413026299,2.414539673,2.41486215,2.4150228,2.415080628,2.415127603,2.415122124,2.415191339,2.415196517,2.415202661,2.41520727,2.415211647,2.415213955,2.415129909,2.415217526,2.415218443
W10004_0644 X PHK76,0.04133329,0.056724119,0.13162826,0.181808125,0.285569536,0.428803311,0.547786725,0.9211249,1.092751892,1.269416734,1.610935811,1.830936336,2.002476699,2.173894772,2.231856325,2.245300785,2.259580389,2.260717902,2.260992929,2.26114527,2.261202678,2.26124962,2.26124414,2.261313355,2.261318533,2.261324677,2.261329286,2.261333664,2.261335971,2.261251926,2.261339542,2.26134046
W10004_0644 X PHP02,0.05896823,0.075171596,0.153133333,0.204824911,0.310785345,0.455487305,0.574573877,0.942874773,1.109779602,1.280120974,1.605374089,1.812218266,1.97229812,2.132211407,2.187258402,2.200375996,2.214791036,2.215973484,2.216254293,2.216407529,2.216464972,2.216511917,2.216506437,2.216575652,2.21658083,2.216586974,2.216591583,2.216595961,2.216598268,2.216514223,2.216601839,2.216602757
W10004_0644 X PHZ51,0.040143943,0.056936201,0.137179047,0.190108778,0.298225604,0.445352841,0.566153138,0.938980847,1.107849432,1.280328581,1.610692246,1.8222916,1.987790319,2.156777241,2.217381168,2.232395669,2.249658776,2.251122215,2.251449077,2.251613152,2.251671452,2.2517185,2.251713024,2.251782239,2.251787417,2.251793561,2.25179817,2.251802548,2.251804856,2.25172081,2.251808426,2.251809344
W10004_0645 X PHK76,0.128295634,0.14692964,0.235021273,0.292603604,0.409363779,0.566827889,0.695104764,1.086100655,1.260900094,1.437926968,1.772226218,1.982210883,2.143169973,2.302368199,2.356771946,2.369732353,2.384054454,2.385246643,2.385530035,2.38568395,2.385741444,2.385788393,2.385782914,2.385852129,2.385857307,2.385863451,2.38586806,2.385872437,2.385874745,2.385790699,2.385878316,2.385879233
W10004_0645 X PHP02,0.023889786,0.040509317,0.12084032,0.174287221,0.284111319,0.434470944,0.558440345,0.942648801,1.117006946,1.295022299,1.634831691,1.850524642,2.016841726,2.181586222,2.237385676,2.250485019,2.264666701,2.265820068,2.266097157,2.266249783,2.266307199,2.266354142,2.266348662,2.266417877,2.266423055,2.266429199,2.266433808,2.266438186,2.266440493,2.266356448,2.266444064,2.266444982
W10004_0645 X PHZ51,0.023183889,0.040679138,0.124537848,0.179929642,0.293110675,0.447090683,0.573439008,0.962820807,1.138885401,1.318505598,1.661816246,1.880904682,2.051350436,2.223186913,2.283053401,2.297381353,2.312998495,2.314186658,2.31444578,2.314579084,2.314627863,2.314667587,2.314662953,2.314721499,2.314725879,2.314731076,2.314734975,2.314738677,2.314740629,2.314669538,2.31474365,2.314744426
W10004_0646 X PHK76,-0.044859517,-0.028875569,0.048597188,0.100256299,0.20655564,0.352238142,0.472364732,0.843973847,1.011921442,1.182684479,1.505742616,1.707817129,1.861128775,2.009542899,2.058662264,2.070146579,2.082795639,2.083895549,2.084168741,2.084320959,2.084378365,2.084425307,2.084419828,2.084489043,2.084494221,2.084500365,2.084504974,2.084509351,2.084511659,2.084427613,2.08451523,2.084516147
W10004_0646 X PHP02,-0.024876492,-0.008121989,0.072350359,0.125621943,0.234675837,0.383358838,0.505550222,0.882650501,1.053188775,1.227024559,1.558342643,1.76859063,1.931011051,2.092912368,2.148518623,2.161753063,2.176283431,2.177472607,2.177754276,2.177907671,2.177965123,2.178012068,2.178006588,2.178075803,2.178080982,2.178087125,2.178091735,2.178096112,2.17809842,2.178014374,2.17810199,2.178102908
W10004_0646 X PHZ51,-0.03615459,-0.019002916,0.06283559,0.116751941,0.226780414,0.376345599,0.499038202,0.877219963,1.048305612,1.222925045,1.557026667,1.770728933,1.937650748,2.107735151,2.168530431,2.183547067,2.200748919,2.202199726,2.202524093,2.202687511,2.202745753,2.202792795,2.202787318,2.202856533,2.202861712,2.202867855,2.202872465,2.202876842,2.20287915,2.202795104,2.20288272,2.202883638
